anio,comuna,sancion,vigente,definitivo,devengado
2013,1,1598615376,2584091293,2554506717.97,2550106461.67
2013,10,114484085,182143656,182098200.77,181749802.82
2013,11,126361929,210017680,209994935.06,209214962.49
2013,12,223256352,620918259,619056142.2,617869797.92
2013,13,169881147,233031832,232952672.43,231429885.76
2013,14,201997895,340973429,340460099.95,336742909.28
2013,15,165965094,285297775,285240398.04,283118036.53
2013,2,136439039,183532988,182318411.76,182256047.04
2013,3,411752818,1602322740,1594664221.51,1594616516.66
2013,4,1162865046,1058639601,1031700680.02,1029637514.1
2013,5,305136786,269400658,258884960.9,258708975.32
2013,6,131132608,157215709,157206326.39,156703017.54
2013,7,188972423,346286532,346140474.88,345579796.88
2013,8,375242387,1273264329,548158702.14,548103966.54
2013,9,211749254,284593694,283591912.22,282651313.78
2014,1,2723339485,5493568916,5235485528.95,5225305322.75
2014,10,305766379,331999413,314470495.29,314258862.07
2014,11,312360619,390998742,377634058.31,377269021.2
2014,12,342616065,555560449,532034036.29,531551101.42
2014,13,803524685,425087987,422680554.91,422541363.96
2014,14,357601816,444557290,440930713.6,438433504.35
2014,15,361715238,358106554,336565804.29,335495998.98
2014,2,663414774,1091022661,938042706.19,937491235.47
2014,3,546494402,886519380,755581708.13,755239191.26
2014,4,1239011238,1439381458,1173308386.85,1172928388.98
2014,5,239684794,254031368,228235997.22,226471606.43
2014,6,272070495,262775144,256202316.95,255956975.82
2014,7,341973344,408823609,397896183.09,397231469.49
2014,8,561149332,935889221,896330661.74,895884492.68
2014,9,273785344,431730536,409249905.19,408816341.46
2015,1,3267064592,4916955645,4136044933.22,4123962441
2015,10,353074311,213617798,210307797.89,209121383.31
2015,11,379382510,328458814,327017268.4,326459048.73
2015,12,552739094,465510562,397827228.84,397530383.67
2015,13,895338430,599236015,594170819.76,581778584.04
2015,14,547070424,358269104,354045461.65,353439948.33
2015,15,471127162,426235209,400069382.35,397941779.13
2015,16,0,112220,112219.65,112219.65
2015,2,669656823,1216091030,1211141964.31,1210408666.95
2015,3,566723006,510279521,497567469.37,496915636.95
2015,4,2128758093,1620245508,1391749037.35,1377525706.93
2015,5,260172896,211020325,207095561.5,206355944.01
2015,6,286602429,229413994,222080615.97,221380410.63
2015,7,415005737,328938468,325452897.25,323478059.34
2015,8,1225095974,1137578995,1001632776.63,999996054.36
2015,9,528637789,464190703,403980151.54,403801482.15
2016,1,4417786173,6356497309,4593939438.66,3997898607.27
2016,10,374444832,393590054,259106444.31,237420368.5
2016,11,337927350,431173955,325794954.62,279154452.94
2016,12,796003749,800870962,309031883.75,250953973.31
2016,13,961050753,895847996,526887056.28,313201053.59
2016,14,524442511,622883005,319678713.1,200381430.4
2016,15,624624597,648201831,350252334.01,246182055.16
2016,16,0,0,0,0
2016,2,816702923,900207226,847393775.23,731198450.44
2016,3,714550825,870971898,395829301.02,271390507.27
2016,4,2508649559,2695112613,1667880103.29,1201194595.38
2016,5,217614282,342054370,223467257.17,167403912.97
2016,6,300728455,306026598,204189342.68,152779187.87
2016,7,447382490,423451128,244130718.84,211500821.91
2016,8,2223926889,2537030300,1557614694.12,1067483563.65
2016,9,537992022,567286709,319295061.49,237515616.27
